,Movement,Time_in,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
116,EBR,2023-04-06 05:00:00-04:00,0.009558397,0.0,0.0,0.003988935,0.004859325,0.009558397,0.013847117,0.009455769,0.02191433,0.13607205
117,EBR,2023-04-06 05:15:00-04:00,0.0022108718,0.0,0.0,0.0,0.0016514212,0.0022108718,0.010215808,0.01380977,0.007507932,0.141067
118,EBR,2023-04-06 05:30:00-04:00,0.008988727,0.0017486995,0.0009140807,0.0016119252,0.007936593,0.008988727,0.009905653,0.0087671485,0.015436445,0.16427857
119,EBR,2023-04-06 05:45:00-04:00,0.006871968,0.0,0.0,0.0038664306,0.0061336546,0.006871968,0.0064137913,0.007662759,0.008078981,0.16472459
120,EBR,2023-04-06 06:00:00-04:00,0.012615064,0.005131008,0.0016112201,0.002632433,0.007295485,0.012615064,0.007112229,0.008302791,0.019719113,0.21506377
121,EBR,2023-04-06 06:15:00-04:00,0.0072524245,0.0,0.002300396,0.003559018,0.0062170783,0.0072524245,0.011268524,0.003149323,0.015279843,0.25317076
122,EBR,2023-04-06 06:30:00-04:00,0.006366372,0.0,0.0010619244,0.002445803,0.0044110096,0.006366372,0.010237196,0.011267261,0.016540969,0.28155014
123,EBR,2023-04-06 06:45:00-04:00,0.013859951,0.0,0.01001513,0.0058116172,0.008888325,0.013859951,0.014952151,0.014090601,0.022709163,0.31715304
124,EBR,2023-04-06 07:00:00-04:00,0.008789952,0.0,0.005167687,0.0020136565,0.007432194,0.008789952,0.011238339,0.01732194,0.027727908,0.33591044
125,EBR,2023-04-06 07:15:00-04:00,0.010692874,0.0,0.0,0.0,0.009462606,0.010692874,0.0074301795,0.019331021,0.019314896,0.350651
126,EBR,2023-04-06 07:30:00-04:00,0.00668556,0.0,0.0,0.0,0.007865919,0.00668556,0.002857973,0.0118189445,0.024923116,0.36765903
127,EBR,2023-04-06 07:45:00-04:00,0.0131345615,0.0,0.0,0.004731202,0.004793676,0.0131345615,0.017092288,0.0143466005,0.028418615,0.39748698
128,EBR,2023-04-06 08:00:00-04:00,0.01137633,0.0,0.001602273,0.006143066,0.009215043,0.01137633,0.02472414,0.027653169,0.02853876,0.44093105
129,EBR,2023-04-06 08:15:00-04:00,0.0028385487,0.0,0.0,0.0,0.00050521235,0.0028385487,0.006405211,0.010317341,0.029976923,0.444822
130,EBR,2023-04-06 08:30:00-04:00,0.0031613098,0.0,0.0,0.0,0.0,0.0031613098,0.010288744,0.011163879,0.031124339,0.5029519
131,EBR,2023-04-06 08:45:00-04:00,0.006090716,0.0,0.0,0.0034901546,0.003537389,0.006090716,0.01090925,0.014332382,0.027935445,0.5092306
132,EBR,2023-04-06 09:00:00-04:00,0.015018067,0.0,0.0063613635,0.003903605,0.009460502,0.015018067,0.01610476,0.02304487,0.04317617,0.5332381
133,EBR,2023-04-06 09:15:00-04:00,0.019987738,0.0,0.0014783465,0.006533242,0.01564831,0.019987738,0.020014878,0.022176282,0.03737558,0.55566853
134,EBR,2023-04-06 09:30:00-04:00,0.0154470075,0.0,0.0,0.0096152825,0.015822962,0.0154470075,0.017458143,0.018947069,0.037410103,0.5691124
135,EBR,2023-04-06 09:45:00-04:00,0.015881658,0.0,0.0009574392,0.008474711,0.0039041874,0.015881658,0.01607534,0.020173047,0.041426282,0.60140365
136,EBR,2023-04-06 10:00:00-04:00,0.0173958,0.0,0.0016987973,0.0,0.00958258,0.0173958,0.012554457,0.02121654,0.03353641,0.6337711
137,EBR,2023-04-06 10:15:00-04:00,0.010172566,0.0,0.0,0.00092304766,0.0066381325,0.010172566,0.012861273,0.008655765,0.037416227,0.6432619
138,EBR,2023-04-06 10:30:00-04:00,0.0070363637,0.0,0.001200798,0.0101624355,0.0104858335,0.0070363637,0.013031077,0.011659332,0.042882264,0.6792702
139,EBR,2023-04-06 10:45:00-04:00,0.012397105,0.0,0.0024820315,0.0,0.0054034386,0.012397105,0.0054893875,0.009505538,0.03726396,0.69231457
140,EBR,2023-04-06 11:00:00-04:00,0.011469587,0.0012813341,0.007921962,0.005311473,0.008828253,0.011469587,0.007021872,0.0072322576,0.035757404,0.70816183
141,EBR,2023-04-06 11:15:00-04:00,0.013021186,0.010524588,0.0089378655,0.008351345,0.0049057296,0.013021186,0.008152578,0.009029044,0.03992687,0.7416537
142,EBR,2023-04-06 11:30:00-04:00,0.01507682,0.0,0.0068230378,9.819213e-05,0.009281258,0.01507682,0.007155142,0.007164955,0.050945662,0.77323514
143,EBR,2023-04-06 11:45:00-04:00,0.009622408,0.002707499,0.0063390005,0.012814222,0.013635248,0.009622408,0.01057763,0.011350671,0.072540134,0.81023276
144,EBR,2023-04-06 12:00:00-04:00,0.008564059,0.0,0.007149958,0.0,0.0046710647,0.008564059,0.011840174,0.0078076436,0.07458538,0.8470641
145,EBR,2023-04-06 12:15:00-04:00,0.005053616,0.0,0.0,0.0,0.0,0.005053616,0.0,0.00026308978,0.0628423,0.86354893
146,EBR,2023-04-06 12:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0009304257,0.00043698377,0.0836813,0.87694824
147,EBR,2023-04-06 12:45:00-04:00,0.0,0.0,0.0006036088,0.0,0.0,0.0,0.0,0.0019292058,0.09309495,0.91588765
148,EBR,2023-04-06 13:00:00-04:00,0.0030963412,0.0,0.0090907235,0.003964307,0.0,0.0030963412,0.009726837,0.008791535,0.12125412,0.96854275
149,EBR,2023-04-06 13:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033068038,0.11820797,0.9791066
150,EBR,2023-04-06 13:30:00-04:00,0.0041346936,0.0,0.00012663461,0.0,0.0065802587,0.0041346936,0.007549006,0.010035198,0.13982153,1.0172966
151,EBR,2023-04-06 13:45:00-04:00,0.015862834,0.0,0.0,0.0,0.0064354176,0.015862834,0.005873167,0.017218696,0.1776022,1.0546569
152,EBR,2023-04-06 14:00:00-04:00,0.00013219821,0.0,0.004641089,0.0,0.0,0.00013219821,0.011145633,0.016088992,0.182286,1.076812
153,EBR,2023-04-06 14:15:00-04:00,0.0044275606,0.008084068,0.0038889109,0.0020794927,0.0020774265,0.0044275606,0.0,0.008951646,0.1803361,1.1015477
154,EBR,2023-04-06 14:30:00-04:00,0.0074323015,0.0,0.006785471,0.0028457122,0.009506914,0.0074323015,0.000552482,0.010975089,0.1975215,1.1210122
155,EBR,2023-04-06 14:45:00-04:00,0.0077188076,0.0,0.005366452,0.0,0.0,0.0077188076,0.013595803,0.010220816,0.20669734,1.1482965
156,EBR,2023-04-06 15:00:00-04:00,0.012737993,0.0,0.00060919614,0.0,0.00015013636,0.012737993,0.010049391,0.014120489,0.24211317,1.1790442
157,EBR,2023-04-06 15:15:00-04:00,0.006109715,0.0,0.0017841868,0.0029250248,0.006160974,0.006109715,0.015856944,0.015310274,0.23783275,1.2033405
158,EBR,2023-04-06 15:30:00-04:00,0.0179561,0.0,0.008743277,0.0074685174,0.017475793,0.0179561,0.023144232,0.029606165,0.26122218,1.2491794
159,EBR,2023-04-06 15:45:00-04:00,0.00986878,0.0,0.0,0.0,0.0034887309,0.00986878,0.009409586,0.015368985,0.27487117,1.2597754
160,EBR,2023-04-06 16:00:00-04:00,0.008830821,0.0,0.0,0.0044460925,0.0015435715,0.008830821,0.012013789,0.022153147,0.2864811,1.3044555
161,EBR,2023-04-06 16:15:00-04:00,0.020236673,0.0,0.0012388183,0.003356847,0.011593591,0.020236673,0.01415827,0.02495588,0.31706378,1.3380624
162,EBR,2023-04-06 16:30:00-04:00,0.017209962,0.0,0.0013741972,0.0006138695,0.009797638,0.017209962,0.017838107,0.02722656,0.31877115,1.3390981
